essay_id,essay_type,task_text,reference_text_essay,essay_text
1,2,"Напишите сочинение-рассуждение. Объясните, как Вы понимаете смысл финала текста: «Я избрал военную карьеру. Было ли это следствием гадания? Не знаю...»
Приведите в сочинении два примера-иллюстрации из прочитанного текста, подтверждающих Ваши рассуждения.
Приводя примеры, Вы можете использовать различные способы обращения к прочитанному тексту.

Объём сочинения должен составлять не менее 70 слов.

Если сочинение представляет собой пересказанный или полностью переписанный исходный текст без каких бы то ни было комментариев, то такая работа оценивается нулём баллов. 
Сочинение пишите аккуратно, разборчивым почерком.","(1)В первый год моей жизни, в день какого-то праздника, по старому поверью, родители мои устроили гадание: они разложили крест, детскую саблю, рюмку и книжку. (2)К чему первому притронусь, то и предопределит мою судьбу. (3)Принесли меня. (4)Я тотчас потянулся к сабле, потом поиграл рюмкой, а до прочего не хотелось дотрагиваться.

(5)Рассказывая мне впоследствии об этой сценке, отец смеялся: (6)«Ну, думаю, дело плохо: будет мой сын рубакой и пьяницей!»

(7)Старинное это гаданье, однако, и сбылось, и не сбылось. (8)Сабля, действительно, предрешила мою жизненную дорогу, но и от книжной премудрости я не отрёкся. (9)В четырнадцать лет увлечённо читал и писал стихи, в пятнадцать перешёл на «Анну Каренину», а в шестнадцать прочитывал и разбирал с товарищами всё подряд. (10)А пьяницей, к счастью, не стал.

(11)Рассказы отца, прошедшего тернистый путь от солдата до капитана, детские игры – всё это настраивало на определённый лад. (12)Мальчишкой я по целым часам пропадал в гимнастическом городке 1-го Стрелкового батальона, стрелял в тире пограничников. (13)Ходил версты за три на стрельбище стрелковых рот, пробирался с солдатами, считавшими пробоины, в укрытие перед мишенями. (14)Пули свистели над головами; было страшно, но очень занятно. (15)На обратном пути вместе со стрелками подтягивал солдатскую песню:

(16)Греми, слава, трубой

За Дунаем за рекой.

(17)Моё увлечение придавало мне вес в глазах мальчишек и вызывало их зависть...

(18)Словом, прижился в военной среде, приобретя приятелей среди офицерства, а ещё более – среди солдат.

(19)Будущая офицерская жизнь представлялась мне тогда в ореоле сплошного веселья и лихости, а не в бремени трудов и забот, как это бывает в действительности.

(20)По мере перехода в высшие классы свободного времени, конечно, становилось меньше, появились другие интересы, и воинские упражнения мои почти прекратились. (21)Не бросил я только гимнастики и преуспевал в «военном строе», который был введён в программу реального училища в 1889 году.

(22)Во всяком случае, когда я окончил училище, хотя высокие баллы по математическим предметам сулили лёгкую возможность поступления в любое высшее техническое заведение, об этом и речи не было. (23)Я избрал военную карьеру.

(24)Было ли это следствием гадания? (25)Не знаю...","В финале текста было сказано: ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" Я считаю, что главный герой воспользовался своим правом выбора и избрал военную карьеру сам, а не в результате гадания.
Рассказы отца, гимнастический городок, общение с солдатами и офицерами с самого детства настроили его на определённый лад (предложение N 11, 12, 18)
По мере взрослели свободного времени становилось всё меньше, но гимнастики он не бросил и преуспевал в ""военном строе"". Это значит, что герой нашёл в этом своё призвание. И даже если бы в результате гадания он выбрал книгу, то всеравно стал бы военным."
2,2,"Напишите сочинение-рассуждение. Объясните, как Вы понимаете смысл финала текста: «Я избрал военную карьеру. Было ли это следствием гадания? Не знаю...»
Приведите в сочинении два примера-иллюстрации из прочитанного текста, подтверждающих Ваши рассуждения.
Приводя примеры, Вы можете использовать различные способы обращения к прочитанному тексту.

Объём сочинения должен составлять не менее 70 слов.

Если сочинение представляет собой пересказанный или полностью переписанный исходный текст без каких бы то ни было комментариев, то такая работа оценивается нулём баллов. 
Сочинение пишите аккуратно, разборчивым почерком.","(1)В первый год моей жизни, в день какого-то праздника, по старому поверью, родители мои устроили гадание: они разложили крест, детскую саблю, рюмку и книжку. (2)К чему первому притронусь, то и предопределит мою судьбу. (3)Принесли меня. (4)Я тотчас потянулся к сабле, потом поиграл рюмкой, а до прочего не хотелось дотрагиваться.

(5)Рассказывая мне впоследствии об этой сценке, отец смеялся: (6)«Ну, думаю, дело плохо: будет мой сын рубакой и пьяницей!»

(7)Старинное это гаданье, однако, и сбылось, и не сбылось. (8)Сабля, действительно, предрешила мою жизненную дорогу, но и от книжной премудрости я не отрёкся. (9)В четырнадцать лет увлечённо читал и писал стихи, в пятнадцать перешёл на «Анну Каренину», а в шестнадцать прочитывал и разбирал с товарищами всё подряд. (10)А пьяницей, к счастью, не стал.

(11)Рассказы отца, прошедшего тернистый путь от солдата до капитана, детские игры – всё это настраивало на определённый лад. (12)Мальчишкой я по целым часам пропадал в гимнастическом городке 1-го Стрелкового батальона, стрелял в тире пограничников. (13)Ходил версты за три на стрельбище стрелковых рот, пробирался с солдатами, считавшими пробоины, в укрытие перед мишенями. (14)Пули свистели над головами; было страшно, но очень занятно. (15)На обратном пути вместе со стрелками подтягивал солдатскую песню:

(16)Греми, слава, трубой

За Дунаем за рекой.

(17)Моё увлечение придавало мне вес в глазах мальчишек и вызывало их зависть...

(18)Словом, прижился в военной среде, приобретя приятелей среди офицерства, а ещё более – среди солдат.

(19)Будущая офицерская жизнь представлялась мне тогда в ореоле сплошного веселья и лихости, а не в бремени трудов и забот, как это бывает в действительности.

(20)По мере перехода в высшие классы свободного времени, конечно, становилось меньше, появились другие интересы, и воинские упражнения мои почти прекратились. (21)Не бросил я только гимнастики и преуспевал в «военном строе», который был введён в программу реального училища в 1889 году.

(22)Во всяком случае, когда я окончил училище, хотя высокие баллы по математическим предметам сулили лёгкую возможность поступления в любое высшее техническое заведение, об этом и речи не было. (23)Я избрал военную карьеру.

(24)Было ли это следствием гадания? (25)Не знаю...","В финале текста А.И.Деникина сказано: ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" Как это понять?
Я понимаю это так: в детские годы для главного героя военная служба была не только опасной, но и увлекательной игрой, полной интересного общения. Обратимся к тексту, чтобы доказать свою точку зрения.
Во-первых, главный герой рассказывал, как мальчишкой он целыми часами проводил в гимнастическом городке 1-го Стрелкового батальона и стрелял в тире пограничников (предложение 12). Это говорит о том, что мальчику нравилось заниматься этим делом, ему было и страшно, и очень весело, когда пули свистели над головой.
Во-вторых, главный герой приобрёл приятелей среди офицерства, а еще более - среди солдат (предложение 18). У мальчика появилось большое окружение для общения, что делало его интерес к военному делу ещё больше.
Таким образом, главный герой выбрал военную карьеру, потому что в детские годы ему была очень интересна и увлекательна служба военных людей, не смотря на все трудности, сложность и опасность этой работы."
6,2,"Напишите сочинение-рассуждение. Объясните, как Вы понимаете смысл финала текста: «Я избрал военную карьеру. Было ли это следствием гадания? Не знаю...»
Приведите в сочинении два примера-иллюстрации из прочитанного текста, подтверждающих Ваши рассуждения.
Приводя примеры, Вы можете использовать различные способы обращения к прочитанному тексту.

Объём сочинения должен составлять не менее 70 слов.

Если сочинение представляет собой пересказанный или полностью переписанный исходный текст без каких бы то ни было комментариев, то такая работа оценивается нулём баллов. 
Сочинение пишите аккуратно, разборчивым почерком.","(1)В первый год моей жизни, в день какого-то праздника, по старому поверью, родители мои устроили гадание: они разложили крест, детскую саблю, рюмку и книжку. (2)К чему первому притронусь, то и предопределит мою судьбу. (3)Принесли меня. (4)Я тотчас потянулся к сабле, потом поиграл рюмкой, а до прочего не хотелось дотрагиваться.

(5)Рассказывая мне впоследствии об этой сценке, отец смеялся: (6)«Ну, думаю, дело плохо: будет мой сын рубакой и пьяницей!»

(7)Старинное это гаданье, однако, и сбылось, и не сбылось. (8)Сабля, действительно, предрешила мою жизненную дорогу, но и от книжной премудрости я не отрёкся. (9)В четырнадцать лет увлечённо читал и писал стихи, в пятнадцать перешёл на «Анну Каренину», а в шестнадцать прочитывал и разбирал с товарищами всё подряд. (10)А пьяницей, к счастью, не стал.

(11)Рассказы отца, прошедшего тернистый путь от солдата до капитана, детские игры – всё это настраивало на определённый лад. (12)Мальчишкой я по целым часам пропадал в гимнастическом городке 1-го Стрелкового батальона, стрелял в тире пограничников. (13)Ходил версты за три на стрельбище стрелковых рот, пробирался с солдатами, считавшими пробоины, в укрытие перед мишенями. (14)Пули свистели над головами; было страшно, но очень занятно. (15)На обратном пути вместе со стрелками подтягивал солдатскую песню:

(16)Греми, слава, трубой

За Дунаем за рекой.

(17)Моё увлечение придавало мне вес в глазах мальчишек и вызывало их зависть...

(18)Словом, прижился в военной среде, приобретя приятелей среди офицерства, а ещё более – среди солдат.

(19)Будущая офицерская жизнь представлялась мне тогда в ореоле сплошного веселья и лихости, а не в бремени трудов и забот, как это бывает в действительности.

(20)По мере перехода в высшие классы свободного времени, конечно, становилось меньше, появились другие интересы, и воинские упражнения мои почти прекратились. (21)Не бросил я только гимнастики и преуспевал в «военном строе», который был введён в программу реального училища в 1889 году.

(22)Во всяком случае, когда я окончил училище, хотя высокие баллы по математическим предметам сулили лёгкую возможность поступления в любое высшее техническое заведение, об этом и речи не было. (23)Я избрал военную карьеру.

(24)Было ли это следствием гадания? (25)Не знаю...","Смысл высказывания: ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" заключается в том, что когда мальчик родился, ему почти сразу на гадали кем он будет в жизни.
Я думаю военная карьера не была следствием гадания, ведь полностью гадание не сбылось. Он не стал пьяницей. Мальчик выбрал военную карьеру, по тому что у у него эта любовь была с детства. В младенческом возрасте он взял в руки шпагу, хоть и игрушечную. А когда подрос, уже ходил на стрельбища стрелять, и к него было много друзей солдатов. Ему не лень было ходить за три версты на полигон чтобы позаниматься с ними. Ведь ему это нравилось. А еще у него отец был военным и рассказывал ему много разных историй.
В детстве закладывается много основных жизненных ценностей, ведь чем в детстве ты занимался и что любил делать, может отразиться на твоей будущей профессии."
7,2,"Напишите сочинение-рассуждение. Объясните, как Вы понимаете смысл финала текста: «Я избрал военную карьеру. Было ли это следствием гадания? Не знаю...»
Приведите в сочинении два примера-иллюстрации из прочитанного текста, подтверждающих Ваши рассуждения.
Приводя примеры, Вы можете использовать различные способы обращения к прочитанному тексту.

Объём сочинения должен составлять не менее 70 слов.

Если сочинение представляет собой пересказанный или полностью переписанный исходный текст без каких бы то ни было комментариев, то такая работа оценивается нулём баллов. 
Сочинение пишите аккуратно, разборчивым почерком.","(1)В первый год моей жизни, в день какого-то праздника, по старому поверью, родители мои устроили гадание: они разложили крест, детскую саблю, рюмку и книжку. (2)К чему первому притронусь, то и предопределит мою судьбу. (3)Принесли меня. (4)Я тотчас потянулся к сабле, потом поиграл рюмкой, а до прочего не хотелось дотрагиваться.

(5)Рассказывая мне впоследствии об этой сценке, отец смеялся: (6)«Ну, думаю, дело плохо: будет мой сын рубакой и пьяницей!»

(7)Старинное это гаданье, однако, и сбылось, и не сбылось. (8)Сабля, действительно, предрешила мою жизненную дорогу, но и от книжной премудрости я не отрёкся. (9)В четырнадцать лет увлечённо читал и писал стихи, в пятнадцать перешёл на «Анну Каренину», а в шестнадцать прочитывал и разбирал с товарищами всё подряд. (10)А пьяницей, к счастью, не стал.

(11)Рассказы отца, прошедшего тернистый путь от солдата до капитана, детские игры – всё это настраивало на определённый лад. (12)Мальчишкой я по целым часам пропадал в гимнастическом городке 1-го Стрелкового батальона, стрелял в тире пограничников. (13)Ходил версты за три на стрельбище стрелковых рот, пробирался с солдатами, считавшими пробоины, в укрытие перед мишенями. (14)Пули свистели над головами; было страшно, но очень занятно. (15)На обратном пути вместе со стрелками подтягивал солдатскую песню:

(16)Греми, слава, трубой

За Дунаем за рекой.

(17)Моё увлечение придавало мне вес в глазах мальчишек и вызывало их зависть...

(18)Словом, прижился в военной среде, приобретя приятелей среди офицерства, а ещё более – среди солдат.

(19)Будущая офицерская жизнь представлялась мне тогда в ореоле сплошного веселья и лихости, а не в бремени трудов и забот, как это бывает в действительности.

(20)По мере перехода в высшие классы свободного времени, конечно, становилось меньше, появились другие интересы, и воинские упражнения мои почти прекратились. (21)Не бросил я только гимнастики и преуспевал в «военном строе», который был введён в программу реального училища в 1889 году.

(22)Во всяком случае, когда я окончил училище, хотя высокие баллы по математическим предметам сулили лёгкую возможность поступления в любое высшее техническое заведение, об этом и речи не было. (23)Я избрал военную карьеру.

(24)Было ли это следствием гадания? (25)Не знаю...","Смысл финала текста Антона Ивановича Деникина я понимаю так: когда в детстве родители мальчика устроили гадание; рассказчик дотронулся сабли и поиграл рюмкой. Это означало, что сын будет рубакой и пьяницей. Мальчик вырос и стал военным. Возможно, это было результатом гадания.
В предложениях 3-4 говорится о том, как рассказчик предопределил свою судьбу, дотронувшись до сабли и рюмки. В предложениях 7-8 рассказчик думает о гадании. Оно как бы сбылось и не сбылось. Герой стал военным, а пьяницей, к счастью, не стал.
Действительно старинные гадания могут предопределять судьбу, но думаю, что всегда верить им не стоит."
8,2,"Напишите сочинение-рассуждение. Объясните, как Вы понимаете смысл финала текста: «Я избрал военную карьеру. Было ли это следствием гадания? Не знаю...»
Приведите в сочинении два примера-иллюстрации из прочитанного текста, подтверждающих Ваши рассуждения.
Приводя примеры, Вы можете использовать различные способы обращения к прочитанному тексту.

Объём сочинения должен составлять не менее 70 слов.

Если сочинение представляет собой пересказанный или полностью переписанный исходный текст без каких бы то ни было комментариев, то такая работа оценивается нулём баллов. 
Сочинение пишите аккуратно, разборчивым почерком.","(1)В первый год моей жизни, в день какого-то праздника, по старому поверью, родители мои устроили гадание: они разложили крест, детскую саблю, рюмку и книжку. (2)К чему первому притронусь, то и предопределит мою судьбу. (3)Принесли меня. (4)Я тотчас потянулся к сабле, потом поиграл рюмкой, а до прочего не хотелось дотрагиваться.

(5)Рассказывая мне впоследствии об этой сценке, отец смеялся: (6)«Ну, думаю, дело плохо: будет мой сын рубакой и пьяницей!»

(7)Старинное это гаданье, однако, и сбылось, и не сбылось. (8)Сабля, действительно, предрешила мою жизненную дорогу, но и от книжной премудрости я не отрёкся. (9)В четырнадцать лет увлечённо читал и писал стихи, в пятнадцать перешёл на «Анну Каренину», а в шестнадцать прочитывал и разбирал с товарищами всё подряд. (10)А пьяницей, к счастью, не стал.

(11)Рассказы отца, прошедшего тернистый путь от солдата до капитана, детские игры – всё это настраивало на определённый лад. (12)Мальчишкой я по целым часам пропадал в гимнастическом городке 1-го Стрелкового батальона, стрелял в тире пограничников. (13)Ходил версты за три на стрельбище стрелковых рот, пробирался с солдатами, считавшими пробоины, в укрытие перед мишенями. (14)Пули свистели над головами; было страшно, но очень занятно. (15)На обратном пути вместе со стрелками подтягивал солдатскую песню:

(16)Греми, слава, трубой

За Дунаем за рекой.

(17)Моё увлечение придавало мне вес в глазах мальчишек и вызывало их зависть...

(18)Словом, прижился в военной среде, приобретя приятелей среди офицерства, а ещё более – среди солдат.

(19)Будущая офицерская жизнь представлялась мне тогда в ореоле сплошного веселья и лихости, а не в бремени трудов и забот, как это бывает в действительности.

(20)По мере перехода в высшие классы свободного времени, конечно, становилось меньше, появились другие интересы, и воинские упражнения мои почти прекратились. (21)Не бросил я только гимнастики и преуспевал в «военном строе», который был введён в программу реального училища в 1889 году.

(22)Во всяком случае, когда я окончил училище, хотя высокие баллы по математическим предметам сулили лёгкую возможность поступления в любое высшее техническое заведение, об этом и речи не было. (23)Я избрал военную карьеру.

(24)Было ли это следствием гадания? (25)Не знаю...","""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" - так заканчивает текст А. Деникин Смысл этих финальных предложений я понимаю так. Вышеупомянутый военачальник считает, что будущее каждого человека заключается в его личном выборе и не должно зависеть от чьих-либо предубеждений и стереотипов. Убедимся в этом, обратившись к тексту.
Так, содержание предложения 7 говорит о том, что нельзя слепо верить различным гаданиям и предсказаниям. Наша жизнь лежит в наших руках! Не надо отдавать своё будущее на чьё-то попечение, нужно самому выбирать, как быть и что делать. Только так можно добиться успеха на тернистом пути жизни.
А вот ещё один пример. В предложении 22 А. Деникин говорит, что он пошёл по военной карьере, хотя имел широкие перспективы для поступления в высшие технические заведения. Другими словами, он сделал выбор в пользу того, что велело ему собственное сердце, а не жизненные обстоятельства. Именно поэтому этот человек понял своё предназначение и добился желаемого.
Таким образом, я думаю, что смысл финала текста говорит о необходимости принятия собственных решений, умении делать правильный выбор в любых ситуациях, в которые нас может забросить жизнь. Только так можно стать настоящим человеком."
9,2,"Напишите сочинение-рассуждение. Объясните, как Вы понимаете смысл финала текста: «Я избрал военную карьеру. Было ли это следствием гадания? Не знаю...»
Приведите в сочинении два примера-иллюстрации из прочитанного текста, подтверждающих Ваши рассуждения.
Приводя примеры, Вы можете использовать различные способы обращения к прочитанному тексту.

Объём сочинения должен составлять не менее 70 слов.

Если сочинение представляет собой пересказанный или полностью переписанный исходный текст без каких бы то ни было комментариев, то такая работа оценивается нулём баллов. 
Сочинение пишите аккуратно, разборчивым почерком.","(1)В первый год моей жизни, в день какого-то праздника, по старому поверью, родители мои устроили гадание: они разложили крест, детскую саблю, рюмку и книжку. (2)К чему первому притронусь, то и предопределит мою судьбу. (3)Принесли меня. (4)Я тотчас потянулся к сабле, потом поиграл рюмкой, а до прочего не хотелось дотрагиваться.

(5)Рассказывая мне впоследствии об этой сценке, отец смеялся: (6)«Ну, думаю, дело плохо: будет мой сын рубакой и пьяницей!»

(7)Старинное это гаданье, однако, и сбылось, и не сбылось. (8)Сабля, действительно, предрешила мою жизненную дорогу, но и от книжной премудрости я не отрёкся. (9)В четырнадцать лет увлечённо читал и писал стихи, в пятнадцать перешёл на «Анну Каренину», а в шестнадцать прочитывал и разбирал с товарищами всё подряд. (10)А пьяницей, к счастью, не стал.

(11)Рассказы отца, прошедшего тернистый путь от солдата до капитана, детские игры – всё это настраивало на определённый лад. (12)Мальчишкой я по целым часам пропадал в гимнастическом городке 1-го Стрелкового батальона, стрелял в тире пограничников. (13)Ходил версты за три на стрельбище стрелковых рот, пробирался с солдатами, считавшими пробоины, в укрытие перед мишенями. (14)Пули свистели над головами; было страшно, но очень занятно. (15)На обратном пути вместе со стрелками подтягивал солдатскую песню:

(16)Греми, слава, трубой

За Дунаем за рекой.

(17)Моё увлечение придавало мне вес в глазах мальчишек и вызывало их зависть...

(18)Словом, прижился в военной среде, приобретя приятелей среди офицерства, а ещё более – среди солдат.

(19)Будущая офицерская жизнь представлялась мне тогда в ореоле сплошного веселья и лихости, а не в бремени трудов и забот, как это бывает в действительности.

(20)По мере перехода в высшие классы свободного времени, конечно, становилось меньше, появились другие интересы, и воинские упражнения мои почти прекратились. (21)Не бросил я только гимнастики и преуспевал в «военном строе», который был введён в программу реального училища в 1889 году.

(22)Во всяком случае, когда я окончил училище, хотя высокие баллы по математическим предметам сулили лёгкую возможность поступления в любое высшее техническое заведение, об этом и речи не было. (23)Я избрал военную карьеру.

(24)Было ли это следствием гадания? (25)Не знаю...","Смысл финала текста я понимаю так: когда мальчик был маленьким, его родители устроили гадание, в результате чего мальчик дотронулся до сабли. Сабля, действительно, предрешила его жизнь. Было ли это следствием гадания, он не знает. Приведу аргументацию из текста.
Во-первых, в предложениях 1-8, говорится о том, как родители устраивали гадание. Мальчик дотронулся до рюмки и сабли. Пьяницей он не стал, а сабля предрешила ему жизнь. Гадание и сбылось, и не сбылось.
Во-вторых, в предложениях 22-23, говорится, что мальчик, после окончания школы мог поступить в любое высшее заведение, но он выбрал военную карьеру.
Можно сделать вывод, что на выбор мальчика повлияло и гадание, и его собственное решение."
10,2,"Напишите сочинение-рассуждение. Объясните, как Вы понимаете смысл финала текста: «Я избрал военную карьеру. Было ли это следствием гадания? Не знаю...»
Приведите в сочинении два примера-иллюстрации из прочитанного текста, подтверждающих Ваши рассуждения.
Приводя примеры, Вы можете использовать различные способы обращения к прочитанному тексту.

Объём сочинения должен составлять не менее 70 слов.

Если сочинение представляет собой пересказанный или полностью переписанный исходный текст без каких бы то ни было комментариев, то такая работа оценивается нулём баллов. 
Сочинение пишите аккуратно, разборчивым почерком.","(1)В первый год моей жизни, в день какого-то праздника, по старому поверью, родители мои устроили гадание: они разложили крест, детскую саблю, рюмку и книжку. (2)К чему первому притронусь, то и предопределит мою судьбу. (3)Принесли меня. (4)Я тотчас потянулся к сабле, потом поиграл рюмкой, а до прочего не хотелось дотрагиваться.

(5)Рассказывая мне впоследствии об этой сценке, отец смеялся: (6)«Ну, думаю, дело плохо: будет мой сын рубакой и пьяницей!»

(7)Старинное это гаданье, однако, и сбылось, и не сбылось. (8)Сабля, действительно, предрешила мою жизненную дорогу, но и от книжной премудрости я не отрёкся. (9)В четырнадцать лет увлечённо читал и писал стихи, в пятнадцать перешёл на «Анну Каренину», а в шестнадцать прочитывал и разбирал с товарищами всё подряд. (10)А пьяницей, к счастью, не стал.

(11)Рассказы отца, прошедшего тернистый путь от солдата до капитана, детские игры – всё это настраивало на определённый лад. (12)Мальчишкой я по целым часам пропадал в гимнастическом городке 1-го Стрелкового батальона, стрелял в тире пограничников. (13)Ходил версты за три на стрельбище стрелковых рот, пробирался с солдатами, считавшими пробоины, в укрытие перед мишенями. (14)Пули свистели над головами; было страшно, но очень занятно. (15)На обратном пути вместе со стрелками подтягивал солдатскую песню:

(16)Греми, слава, трубой

За Дунаем за рекой.

(17)Моё увлечение придавало мне вес в глазах мальчишек и вызывало их зависть...

(18)Словом, прижился в военной среде, приобретя приятелей среди офицерства, а ещё более – среди солдат.

(19)Будущая офицерская жизнь представлялась мне тогда в ореоле сплошного веселья и лихости, а не в бремени трудов и забот, как это бывает в действительности.

(20)По мере перехода в высшие классы свободного времени, конечно, становилось меньше, появились другие интересы, и воинские упражнения мои почти прекратились. (21)Не бросил я только гимнастики и преуспевал в «военном строе», который был введён в программу реального училища в 1889 году.

(22)Во всяком случае, когда я окончил училище, хотя высокие баллы по математическим предметам сулили лёгкую возможность поступления в любое высшее техническое заведение, об этом и речи не было. (23)Я избрал военную карьеру.

(24)Было ли это следствием гадания? (25)Не знаю...","В данном мне тексте очень необычный финал. Деникин употребил фразу: ""Я избрал военную карьеру. Было ли это следствием гадания? Не знаю..."" Попробую объяснить, как я понимаю смысл данного высказывания.
Во-первых, рассказы отца о военной службе вызывали огромный интерес у мальчика. Вследствии чего мальчик стал увлекаться военным делом (11-16)
Во-вторых, даже после перехода в высшие классы, герой произведения по-прежнему увлекался гимнастикой и военным строем (21)
Таким образом, именно рассказы отца о военной службе и игры в гимнастическом городке ещё в детстве подтолкнули героя произведения к выбору будущей профессии."
